# File Name: H:\ccg quantstudio\2023-01-16_161000 sc try23_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.1-mL Block
# Instrument Name: 272313047
# Instrument Serial Number: 272313047
# Heated Cover Serial Number:
# Block Serial Number: 21114869
# Run Start Date/Time: 2023-01-16 05:13:56 PM CST
# Run End Date/Time: 2023-01-16 06:25:45 PM CST
# Run Duration: 71 minutes 48 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-01-17 11:22:37 AM CST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported On: 2023-01-19 09:45:47 AM CST
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"74","G2","false","0oi 45min","Scspl2","UNKNOWN","SYBR","None","Amp","1.199644450200637","","","25.56813974020737","0.8408677298204398","26.65684430662158","1.9520526033289256","true","0.047918776049736336","true","3","22","64.70713806152344","","",""
"75","G3","false","7pi 2hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1697838114207522","","","26.66612984316066","0.9580118670599244","26.251459680398693","0.6097941777843234","true","0.047918776049736336","true","3","23","65.0322265625","75.0087890625","",""
"76","G4","false","7pi 2hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.171592410880102","","","26.411763756283968","0.806195126065416","26.251459680398693","0.6097941777843234","true","0.047918776049736336","true","3","24","64.80803680419922","75.12088775634766","",""
"77","G5","false","06pi 2hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1862653391644775","","","24.7394881246749","0.8814798747044238","25.50330489949433","1.2315859380774723","true","0.047918776049736336","true","3","21","65.69322204589844","74.98078155517578","",""
"78","G6","false","06pi 2hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.184732867555563","","","24.89284247668185","0.9555322956290285","25.50330489949433","1.2315859380774723","true","0.047918776049736336","true","3","21","64.23854064941406","","",""
"79","G7","false","0pi 2hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1957489528121141","","","24.64648207901839","0.9363431120573693","24.42694995077369","0.47080926284590907","true","0.047918776049736336","true","3","21","64.79837036132812","75.42726135253906","",""
"80","G8","false","0pi 2hr","Scspl2","UNKNOWN","SYBR","None","Amp","1.1770380221421457","","","24.67172335195204","0.9225289645637816","24.42694995077369","0.47080926284590907","true","0.047918776049736336","true","3","21","64.35083770751953","75.09161376953125","",""
"81","G9","false","06pi 2hr","Scpho84","UNKNOWN","SYBR","None","Amp","0.9091007877721677","","","17.78512294143074","0.5578052932515598","16.60873403796422","1.1528585747242777","true","0.03999999910593033","true","3","15","63.68775177001953","68.39767456054688","72.3226089477539",""
"82","G10","false","06pi 2hr","Scpho84","UNKNOWN","SYBR","None","Inconclusive","1.0828527052462993","","","17.3349145274598","0.403845181481411","16.60873403796422","1.1528585747242777","true","0.03999999910593033","true","3","15","64.13631439208984","","",""
"83","G11","false","0pi 2hr","Scpho84","UNKNOWN","SYBR","None","Amp","1.0593711336991818","","","15.862733183977207","0.6756178898439384","15.319543016968078","0.39016223197740224","true","0.03999999910593033","true","3","13","70.80050659179688","65.00384521484375","",""
