Well	Cycle	ΔRn
D1	39	-168.9210510254
D1	40	-199.6111907959
D2	1	-153.9467773438
D2	2	153.9467773438
D2	3	588.2397460938
D2	4	1517.5307617188
D2	5	3224.0092773438
D2	6	6268.8608398438
D2	7	12166.19921875
D2	8	22817.10546875
D2	9	41127.65234375
D2	10	70080.890625
D2	11	107234.703125
D2	12	141056.109375
D2	13	158858.34375
D2	14	164741.796875
D2	15	170123.640625
D2	16	173566.140625
D2	17	176507.65625
D2	18	179024.203125
D2	19	181438.53125
D2	20	183529.9375
D2	21	185086.765625
D2	22	186952.546875
D2	23	187014.9375
D2	24	188047.40625
D2	25	188282.453125
D2	26	189489.765625
D2	27	191183.71875
D2	28	192099.546875
D2	29	193507.578125
D2	30	194020.328125
D2	31	194035.546875
D2	32	194761.984375
D2	33	194777.15625
D2	34	195679.140625
D2	35	194304.28125
D2	36	196220.796875
D2	37	196318.46875
D2	38	196309.421875
D2	39	197359.265625
D2	40	196085.34375
D3	1	61.6201171875
D3	2	-61.6201171875
D3	3	256.7314453125
D3	4	473.4384765625
D3	5	1067.96484375
D3	6	2099.501953125
D3	7	4068.7236328125
D3	8	7807.5673828125
D3	9	14708.7314453125
D3	10	27223.24609375
D3	11	48792.08203125
D3	12	81061.140625
D3	13	120015.953125
D3	14	151988.515625
D3	15	166897.15625
D3	16	173048
D3	17	177689.328125
D3	18	182358.78125
D3	19	187571.59375
D3	20	189405.828125
D3	21	193456.234375
D3	22	195405.9375
D3	23	196198.75
D3	24	198256.3125
D3	25	199645.15625
D3	26	200702.84375
D3	27	202455.828125
D3	28	202717.65625
D3	29	203930.046875
D3	30	204666.8125
D3	31	205623.21875
D3	32	206158.546875
D3	33	207212.8125
D3	34	206710.03125
D3	35	208176.5
D3	36	208398.21875
D3	37	208712.3125
D3	38	208872.8125
D3	39	209433.8125
D3	40	209479.4375
D4	1	81.8442382813
D4	2	-81.8442382813
D4	3	231.6020507813
D4	4	594.6176757813
D4	5	1176.1958007813
D4	6	2100.1313476563
D4	7	4002.4604492188
D4	8	7477.4477539063
D4	9	14081.0625
D4	10	26204.080078125
D4	11	46258.04296875
D4	12	77210.3671875
D4	13	114382.109375
D4	14	145525.546875
D4	15	160134.15625
D4	16	165297.046875
D4	17	169931.171875
D4	18	173467.484375
D4	19	175452.40625
D4	20	177893.53125
D4	21	180728.421875
D4	22	181403.265625
D4	23	182158.625
D4	24	184115.671875
D4	25	185903.296875
D4	26	186005.390625
D4	27	186108.953125
D4	28	188148.453125
D4	29	189201.578125
D4	30	189236.453125
D4	31	190294.109375
D4	32	191063.796875
D4	33	191581.84375
D4	34	191985.640625
D4	35	192204.609375
D4	36	192376.765625
D4	37	194871.296875
D4	38	193734.515625
D4	39	195415.953125
D4	40	194527.84375
D5	1	-2.7048339844
D5	2	2.7048339844
D5	3	204.5480957031
D5	4	552.0075683594
D5	5	1160.6057128906
D5	6	2105.3400878906
D5	7	4134.6982421875
D5	8	7889.05078125
D5	9	14846.2177734375
D5	10	27254.1953125
D5	11	47917.3828125
D5	12	76831.7421875
D5	13	108197.7265625
